FIELD,TOPIC,LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT
"linguistics, semantics, syntax","causation, passive",Sonrai,article,shopenkonare1970,"Shopen, Tim and Konaré, Mamado",,Sonrai causatives and passives: transformational versus lexical derivations for propositional heads,1970,,,,211-254,,,Studies in African Linguistics,1,,,,,,"Shopen and Konare consider the implications of treating grammatical relations as correspondences between deep structure configurations and semantic functions, correspondences defined in lexical entries for propositional heads. Sonrai, like Kachin, Turkic, Japanese, and Korean, expresses both direct and indirect causation in the simple sentence, deriving causative verbs from agential verbs by suffixation. However, while the morphological form for the affix is invariant, the case semantic functions of the derived causatives are changed in different ways for differentverbs. Shopen and Konare take this as motivation for lexical, rather than transformational, derivation of Sonrai causatives, arguing that transformations should not change the value of lexical items as propositional heads. Agentless passives in Sonrai are more likely candidates for transformational derivation, since their semantic relationship to actives is specifiable. On the other hand, these medio-passive constructions may be lexically derived from elliptical sentences in deep structure, that is, sentences lacking deep structure subjects. The authors conclude that complicated transformational machinery is not necessary to characterize Sonrai grammar. Transformations in this language are essentially limited to permutation operations. Shopen and Konare include an important generalization for universal grammar in their article: There are no SVO languages where the leftmost NP in an NP-verb-NP sentence has the semantic function THEME, unless the sentence is passive or topicalized; in SVO languages, the grammatical relation for transitive verbs is Agent-verb THEME, and for intransitive verbs it is THEME-verb."
"linguistics, semantics","verbs, implication",,article,karttunen1971,"Karttunen, Lauri",,Implicative verbs,1971,,,,340-358,,,Language ,47,2,,,https://www.researchgate.net/publication/271696228_Implicative_Verbs,DOI: 10.2307/412084,
linguistics,causation,English,article,babcock1972,"Babcock, S.",,Paraphrastic Causatives,1972,,,,30-43,,,Foundations of Language ,8,,,,,,
"linguistics, syntax",causation,,article,lakoffross1972,"Lakoff, G. and Ross, J. R.",,A Note on Anaphoric Islands and Causatives,1972,,,,121-125,,,Linguistic Inquiry,3,,,,,,
"linguistics, semantics, syntax","argument structure, event structure",Japanese,incollection,shibatani1972,"Shibatani, Masayoshi","Kimball, John. P.",Three Reasons for Not Deriving ‘Kill’ from ‘Cause to Die’ in Japanese,1972,,Brill,Leiden,125-137,Syntax and Semantics Volume 1,,,,,,,https://brill.com/display/book/edcoll/9789004372986/BP000010.xml,,
linguistics,"causation, transitivity",Gorum,article,zide1972,"Zide, Arlene R. K.",,Transitive and Causative in Gorum,1972,,,,201-215,,,Journal of Linguistics,8,,,,,,"This study is concerned with the notion causative and its relationship to the categories transitive and intransitive in Gorum, a Munda language. In Gorum, voice - the relations among participants and between participants and a specified action - is bound up in such a way with problems of causativization that consideration of voice requires a reassessment of traditional definitions of both these categories. It is the case that certain verbs in Gorum impose a semantic presupposition on their subjects, these presuppositional qualities having overt morphological realizations as affixes. The problem is that while these affixes may be mistakenly identified as markers of transitivity, they are, in effect, more significantly related to the notion effectum/affectum. For example, since certain verbs like fear affect only their subjects, they are not technically semantically transitive and should not be confused with true transitive verbs where subject affects object in some significant way. It is crucial that the semantic information, as well as morphological shape of given verbs, be defined in Gorum's lexicon. This is important because the relationships among participants in lower sentences and their transformationally connected higher sentences are not as dependent on the transitivity of the verbs as on their semantic properties. The implications are fareaching. Relationships of voice, transitivity, and volition cannot be discovered without an understanding of the semantic properties of primary verbs in deep structures. The notion ""causative"" needs a reevaluation in these terms."
linguistics,argument structure,,book,jackendoff1972,"Jackendoff, Ray S.",,Semantic interpretation in Generative Grammar,1972,,MIT Press,"Cambridge, MA",414 pp.,,,,,,,,,,"Like other recent work in the field of generative-transformational grammar, this book developed from a realization that many problems in linguistics involve semantics too deeply to be solved insightfully within the syntactic theory of Noam Chomsky's Aspect of the Theory of Syntax. Dr Jackendoff has attempted to take a broader view of semantics, studying the important contribution it makes to the syntactic patterns of English.The research is carried out in the framework of an interpretive theory, that is, a theory of grammar in which syntactic structures are given interpretations by an autonomous syntactic component. The book investigates a wide variety of semantic rules, stating them in considerable detail and extensively treating their consequences for the syntactic component of the grammar. In particular, it is shown that the hypothesis that transformations do not change meaning must be abandoned; but equally stringent restrictions on transformations are formulated within the interpretive theory.Among the areas of grammar discussed are the well-known problems of case relations, pronominalization, negation, and quantifiers. In addition, the author presents semantic analyses of such neglected areas as adverbs and intonation contours; he also proposes radically new approaches to the so-called Crossover Principle, the control problem for complement subjects, parentheticals, and the interpretation of nonspecific noun phrases."
linguistics,causation,English ,article,cruse1972,"Cruse, D. A.",,A Note on English Causatives,1972,,,,520-528,,,Linguistic Inquiry,3,4,,,,,
"linguistics, semantics, syntax","causation, lability",English,article,kastovsky1973,"Kastovsky, Dieter",,Causatives,1973,,,,255-315,,,Foundations of Language,10,,,,,,"Kastovsky criticizes early formulations of case grammar analyses of the so-called middle-object verbs in English, particularly those assuming that transitive and intransitive uses of these verbs are contextual variants of single lexical items. What is distinctive about middle-object verbs (cook, open, bend, turn), as opposed to those that are basically transitive (read, beat, get), is that the former have a causative meaning when used transitively, a meaning not inherent in their intransitive use. Case grammars have dealt with this noninherent causative meaning by the addition of a semantic feature to the features characterizing these verbs when they occur in particular sentence frames. Regardless of one's theoretical persuasions, Kastovsky argues, the addition of semantic features ""does not conform to the postulated semantic sameness of the verb involved."" In an attempt to give a coherent account of causativization without resorting to such devices, Kastovsky distinguishes causatives involving a causative auxiliary (make legal, make jump, made fall) from (1) explicit causatives where the verb is derived from a noncausative one (legalize, outlaw, humidify), and (2) implicit causatives involving verbs which are semantically causative but are not morphologically related to noncausative verbs (convince, persuade, prevent). He presents arguments in favor of deriving the latter two categories by prelexical transformation, and he holds that English middle-object verbs should be derived in the same way as the explicit causatives listed under (1) above."
"linguistics, semantics, syntax","causation, argument structure","Korean, English",article,lee1973,"Lee, Chungmin",,Presuppositions of Existence of Theme for Verbs of Change (in Korean and English),1973,,,,384-388,,,Foundations of Language,9,,,,,,"The presuppositional structure of Korean inchoative-causative verbs must include both an existential statement about the verbs' semantic THEME, as well as an indication of the negative state of thecBECOME predicate, that is, that state of affairs which obtained before the change of state. On the other hand, the non- inchoative Korean causative construction does not presuppose the prior existence of THEME, but may instead assert the fact of THEME's coming into existence. Lee maintains that ""there is strong evidence for the presence of the inchoative element for every occurrence of CAUSE."" This inchoative distinguishes between the presup- position and the assertion of the existence of the THEME undergoing the change of state specifie"
philosophy,causation,,article,lewis1973,"Lewis, David",,Causation,1973,,,,556-567,,,The Journal of Philosophy,70,17,,,https://www.jstor.org/stable/2025310?origin=JSTOR-pdf,,
"linguistics, syntax",causation,Telugu,article,murti1973,"Murti, K. V. S.",,Causative Forms in Telugu,1973,,,,23-37,,,Linguistics,107,,,,,,"This study is primarily focused on the syntax of periphrastic causative constructions, constructions formed through a process of complementation. There is no mention of causative formation by affixation or lexical derivation. Murti discusses the behavior of transitive, intransitive, and ""weakly transitive"" verbs in Telugu, proposing six syntactic operations resulting in the production of causative forms."
"linguistics, semantics, syntax",causation,Japanese,article,shibatani1973a,"Shibatani, Masayoshi",,Semantics of Japanese Causativization,1973,,,,327-373,,,Foundations of Language,9,,,,,,"In modern transformational-generative theory, there is an ongoing debate between lexicalists and generative semanticists over the proper analysis of causative constructions. The latter group argues for decomposition of various overtly monomorphemic verbs (e.g., kill) into their underlying semantic structure (e.g., kill comes from cause to die or cause to cease to be alive, etc.). The former group pleads for the integrity of lexical items. Shibatani carries the controversy away from English, showing that in Japanese, a language with both lexical and affixal causatives in the simplex, neither position can be maintained to the exclusion of the other. Considering the semantic properties of Japanese causatives, Shibatani concludes that affixal causatives must be derived transformationally, but that lexical causatives cannot be derived in this fashion at all."
"linguistics, semantics, syntax",causation,Korean,article,shibatani1973b,"Shibatani, Masayoshi",,Lexical versus Periphrastic Causatives in Korean,1973,,,,281-297,,,Journal of Lingusitics,9,,,,,,"Proposals that lexical and periphrastic causatives be derived from the same underlying structures have been put forth by Lakoff (1965) and McCawley (1968) for English, by Soga (1970) for Japanese, and by Yang (1972) for Korean. Shibatani argues that all these analyses exhibit a marked insensitivity to semantic differences between the two constructions and insensitivity to their syntactic behavior. He shows that the class of lexical causatives (which contains verbs either basically causative or formed from intransitive verbs by affixation) contrasts in meaning with the class of periphrastic causatives (those which embed a complement sentence under a higher verb to do) in a number of environments. The Korean evidence indicates, among other things, that Lakoff and Ross's anaphoric island hypothesis is invalid cross-linguistically. Furthermore, this evidence poses a serious challenge to the generative semanticist position in general, since it provides counterexamples to the notion that lexical and periphrastic causatives are synonymous."
linguistics,causation,English,article,baron1974,"Baron, Naomi S.",,The Structure of English Causatives,1974,,,,299-234,,,Lingua,33,,,,,,
"linguistics, linguistic typology","causation, argument structure",,article,comrie1974,"Comrie, Bernard",,Causatives and Universal Grammar,1974,,,,1-32,,,Transactions of the Philological Society,73,1,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-968X.1974.tb01155.x,,
"linguistics, syntax",causation,English,article,fodor1974,"Fodor, Janet Dean",,Like Subject Verbs and Causal Clauses in English,1974,,,,95-110,,,Journal of Linguistics,10,,,,,,
bibliography,causation,,article,kendall1975,"Kendall, Martha B.",,Articles on the Semantics and Syntax of Causativization,1975,,,,162-164,,,International Journal of American Linguistics,41,2,,,,,"Articles on the Semantics and Syntax of Causativization, abstracted by Martha B. Kendall, Vassar College"
"linguistics, semantics, syntax",causation,,book,shibatani1976,,"Shibatani, Masayoshi","The Grammar of Causative Constructions (Syntax and Semantics, Vol. 6)",1976,,Academic Press,New York,517 pp.,,,,,,,,,,
linguistics,"causation, non-canonical",,incollection,mccawley1976,"McCawley, Noriko A.","Shibatani, Masayoshi",On experiencer causatives,1976,,Academic Press,New York,181-203,"The Grammar of Causative Constructions (Syntax and Semantics, Vol. 6)",,,,,,,,,
linguistics,causation,,incollection,talmy1976,"Talmy, Leonard","Shibatani, Masayoshi",Semantic Causative Types,1976,,Academic Press,New York,43-116,"The Grammar of Causative Constructions (Syntax and Semantics, Vol. 6)",,,,,,,,,
linguistics,transitivity,,article,hopperthompson1980,"Hopper, Paul J. and Thompson, Sandra A.",,Transitivity in Grammar and Discourse,1980,,,,251-299,,,Language,56,2,,,https://www.jstor.org/stable/413757,,"Transitivity involves a number of components, only one of which is the presence of an object of the verb. These components are all concerned with the effectiveness with which an action takes place, e.g., the punctuality and telicity of the verb, the conscious activity of the agent, and the referentiality and degree of affectedness of the object. These components co-vary with one another in language after language, which suggests that Transitivity is a central property of language use. The grammatical and semantic prominence of Transitivity is shown to derive from its characteristic discourse function: high Transitivity is correlated with foregrounding, and low Transitivity with backgrounding."
"linguistics, semantics","causation, argument structure",,article,wali1981,"Wali, Kashi",,"Cause, Causer and Causee: A Semantic Perspective",1981,,,,289-308,,,Journal of Linguistics,17,2,,,https://www.jstor.org/stable/4175593?searchText=&searchUri=&ab_segments=&searchKey=&refreqid=fastly-default%3Ad298f7737156174da135664a02b1227d,,
linguistics,argument structure,,article,williams1981,"Williams, Edwin",,Argument structure and morphology,1981,,,,81-114,,,The Linguistic Review,1,1,,,,,
linguistics,transitivity,,book,hopperthompsoneds1982,,"Hopper, Paul J. and Thompson, Sandra A.",Studies in transitivity,1982,,Academic Press,London,,,,,,,,,,,
"linguistics, generative syntax","causation, argument structure",,article,cole1983,"Cole, Peter",,The Grammatical Role of the Causee in Universal Grammar,1983,,,,115-133,,,International Journal of American Linguistics,49,2,,,https://www.jstor.org/stable/1265419?seq=1,,
linguistics,passive,,book,siewierska1984,"Siewierska, Anna",,The passive: A comparative linguistic analysis,1984,,Croom Helm,London,306 pp.,,,,,,,,,,
linguistics,"causation, agentivity",,book,eilfortetal1985,,"Eilfort, William H. and Kroeber, Paul D. and Peterson, Karen L.",Papers from the Parasession on Causatives and Agentivity at the Twenty-first Regional Meeting of the Chicago Linguistic Society,1985,,Chicago Linguistic Society,Chicago,,,,,,,,,http://chicagolinguisticsociety.org/public/cls21-2-toc.pdf,,
linguistics,transitivity,,incollection,guersseletal1985,"Guerssel, M. and Hale, K. and Laughren, M. and Levin, B. and White Eagle, J.","Eilfort, W. H. and Kroeber, P. D. and Peterson, K. L.",A cross-linguistic study of transitivity alternations,1985,, Linguistic Society,Chicago,48-64,Papers from the parasession on causatives and agentivity at the Twenty-first Regional Meeting of CLS,,,,,,,,,
linguistics,causation,,incollection,comrie1985,"Comrie, Bernard","Shopen, Timothy",Causative verb formation and other verb-deriving morphology,1985,,Cambridge University Press,Cambridge,309-348,"Language typology and syntactic description. Vol. III, Grammatical categories and the lexicon",,,,,,,,,
linguistics,causation,,incollection,dorit1986,"Abusch, Dorit",,"Verbs of Change, Causation, and Time",1986,,Stanford University,,,Center for the Study of Language and Information,,,,,,,,,
"linguistics, diachrony",middle,,incollection,croftetal1987,"Croft, William A. and Hava Bat-Zeev, Shyldkrot and Kemmer, Suzanne","Giacalone Ramat, Anna and Carruba, Onofrio and Bernini, Giuliano",Diachronic semantic processes in the middel voice,1987,,John Benjamins Publishing Company,,179-192,Papers from the 7th International Conference on Historical Linguistics,,,,,,,,https://doi.org/10.1075/cilt.48.14cro,
"linguistics, linguistic typology",reflexive,,book,geniusiene1987,"Geniušienė, Emma",,The Typology of Reflexives,1987,,Mouton de Gruyter,Berlin/New York/Amsterdam ,435 pp.,,,,,,,,,,
"linguistics, linguistic typology",anticausative,,misc,haspelmath1987,"Haspelmath, Martin",,Transitivity alternations of the anticausative type,1987,,,,,,,,,,Universität zu Köln,Arbeitspapier / Institut für Sprachwissenschaft N.F. Nr. 4,,,"This paper is concerned with anticausative verbs (or verb-forms), or shortly, anticausatives. [...] [C]ausative/non-causative pairs with a marked non-causative are quite frequent in the languages of the world. However, so far they have not received sufficient attention in general and typological linguistics, a fact which is also manifested in the absence of a generally recognized term for this phenomenon […]. This paper therefore deals with the most important properties of anticausatives (particularly semantic conditions on them), their relationship to other areas of grammar as well as their historical development in different languages. The grammatical domain of transitivity, valence and voice, where the anticausative belongs, takes up a central position in grammar and consequently the present discussion should be of considerable interest to general comparative (or typological) linguists."
"linguistics, syntax",unaccusative,,article,belletti1988,"Belletti, Adriana",,The Case of Unaccusatives,1988,,,,1-34,,,Linguistic Inquiry,19,1,,,https://www.jstor.org/stable/4178572?seq=22,,
"linguistics, historical linguistics",passive,,article,haspelmath1990,"Haspelmath, Martin",,The Grammaticization of Passive Morphology,1990,,,,25-72,,,Studies in Language,14,1,,,https://www.researchgate.net/publication/238345066_The_Grammaticization_of_Passive_Morphology,,
"linguistics, historical linguistics",causation,,article,song1990,"Song, Jae Jung",,On the rise of causative affixes: A universal-typological perspective,1990,,,,151-200,,,Lingua,82,,,,https://www.sciencedirect.com/science/article/pii/002438419090061O,,"This paper provides a universal typology of causative constructions, on the basis of which it further projects a diachronic model of causative affixes. The model is able to predict two more potential sources other than lexical verbs of cause from which causative affixes may originate, since the universal typology sanctions only the compact, AND, and PURP types of causative construction. It gains empirical support from cross-linguistic evidence, by helping to trace the hitherto unknown origins of causative affixes. It also outlines the diachronic path through which causative affixes come into being. Finally, the model offers an explanation of the co-occurrence of causative affixes and some purposive elements in certain languages."
"linguistics, generative syntax",causation,English,article,borer1991,"Borer, Hagit",,The Causative-Inchoative Alternation: A Case Study in Parallel Morphology,1991,,,,119-158,,,The Linguistic Review,8,,,,https://www.researchgate.net/publication/249931760_The_Causative-Inchoative_Alternation_A_Case_Study_in_Parallel_Morphology,,
linguistics,argument structure,,article,dowty1991,"Dowty, David",,"Thematic Proto-Roles and Argument Selection",1991,,,,547-619,,,Language,67,3,,,,,"As a novel attack on the perennially vexing questions of the theoretical status of thematic roles and the inventory of possible roles, this paper defends a strategy of basing accounts of roles on more unified domains of linguistic data than have been used in the past to motivate roles, addressing in particular the problem of ARGUMENT SELECTION (principles determining which roles are associated with which grammatical relations). It is concluded that the best theory for describing this domain is not a traditional system of discrete roles (Agent, Patient, Source, etc.) but a theory in which the only roles are two cluster-concepts called Proto-Agent and Proto-Patient, each characterized by a set of verbal entailments: an argument of a verb may bear either of the two proto-roles (or both) to varying degrees, according to the number of entailments of each kind the verb gives it. Both fine-grained and coarse-grained classes of verbal arguments (corresponding to traditional thematic roles and other classes as well) follow automatically, as do desired 'role hierarchies'. By examining occurrences of the 'same' verb with different argument configurations-e.g. two forms of psych predicates and object-oblique alternations as in the familiar spray/load class-it can also be argued that proto-roles act as defaults in the learning of lexical meanings. Are proto-role categories manifested else-where in language or as cognitive categories? If so, they might be a means of making grammar acquisition easier for the child, they might explain certain other typological and acquisitional observations, and they may lead to an account of contrasts between unaccusative and unergative intransitive verbs that does not rely on deriving unaccusatives from underlying direct objects."
linguistics,causation,,article,falk1991,"Falk, Yehuda N.",,Causativization,1991,,,,55-79,,,Journal of Linguistics ,27,1,,,,,
"linguistics, linguistic typology","causation, argument structure",,article,song1991,"Song, Jae Jung",,Causatives and Universal Grammar: An Alternative Interpretation,1991,,,,65-94,,,Transactions of the Philological Society,89,1,,,,,"The validity of the C(ase) H(ierarchy), the paradigm case, and the notion of demotion in Comrie's universal theory of causative constructions is questioned. It is argued that the CH theory precludes a more realistic and plausible understanding of the causative construction. Data from a wide range of languages are examined in their own right, not from the perspective of the paradigm case. An alternative view is offered that both causative and noncausative sentences are susceptible to the same NP density control. Under this view the so-called deviations from the paradigm case-extended demotion and doubling-are seen as different grammatical means of keeping the NP density control in effect. The alternative view receives further support from those languages in which transitive verbs must be detransitivised prior to undergoing morphological causativisation."
linguistics,voice,,book,klaiman1991,"Klaiman, Miriam H.",,Grammatical voice,1991,,Cambridge University Press,Cambridge,,,,,,,,,,,"Categories of the verb in natural languages include tense, aspect, modality (mood) and voice. Among these, voice, in its rich and diverse manifestations, is perhaps the most complex. But most prior research concentrates on only certain types, predominantly passives. Voice expresses relations between a predicate and a set of nominal positions-or their referents-in a clause or other structure. Grammatical Voice is the first typological study of voice systems based on a multi-language survey. It introduces a threefold classification of voice types, in the first place distinguishing passivization phenomena (derived voice) from active-middle systems (basic voice); and further, distinguishing each of these from pragmatically grounded voice behaviours, such as focus and inverse systems. As the first comprehensive study of voice systems and voice typology, this book makes a significant contribution to current research in linguistics and grammatical theory."
"linguistics, linguistic typology","causation, questionary",,article,nedjalkovkulikov1992,"Nedjalkov, V. P. and Kulikov, L. I.",,Questionnaire zur Kausativierung,1992,,,,137-149,,,"Zeitschrib für Phonetik, Sprachwissenschab und Kommunikationsforschung",45,2,,,,,
"linguistics, linguistic typology",causation,,book,comriepolinsky1993,,"Comrie, Bernard and Polinsky, Maria",Causatives and Transitivity,1993,,John Benjamins Publishing Company,Amsterdam/Philadelphia,399 pp.,,,,,,,,,,"This volume brings together 18 typological studies of causative and related constructions (transitivity, voice, other expressions of cause) by 19 scholars from North America, Western Europe, and Russia. The inspirations for the volume is the pioneering work on causative constructions by the Leningrad Typology Group; several of the contributors have close connections to the charter members of that group, others have appreciated this work from a distance. The volume as a whole is based on the concept of causative constructions as embracing both morphology and syntax, with an important semantic component as well. In addition to general studies concerning the morpho syntactic and semantic typology and the history of causative constructions and relations to other phenomena, the following individual languages are treated in detail: Russian, English, Dutch, Svan, Even, Korean, Yukaghir, Alutor, Aleut, Haruai, Dogon, Athabaskan languages. The volume will be of interest to typologists, to other linguists interested in causative constructions and transitivity relations, and to all who are interested in the linguistic expression of causal relations."
linguistics,"causation, non-canonical",Aleut,incollection,golovko1993,"Golovko, E. V.","Comrie, Bernard and Polinsky, Maria",On non-causative effects of causativity in Aleut,1993,,John Benjamins Publishing Company,Amsterdam/Philadelphia,385-390,Causatives and Transitivity,,,,,,,,,
"linguistics, linguistic typology",causation,,incollection,haspelmath1993,"Haspelmath, Martin","Comrie, Bernard and Polinsky, Maria",More on the typology of inchoative/causative verb alternations,1993,,John Benjamins Publishing Company,Amsterdam/Philadelphia,87-120,Causatives and Transitivity,,,,,,,https://www.researchgate.net/publication/243764686_More_on_the_typology_of_inchoativecausative_verb_alternations,,
"linguistics, linguistic typology",causation,,incollection,kulikov1993,"Kulikov, Leonid I.","Comrie, Bernard and Polinsky, Maria","The ""second causative"": A typological sketch",1993,,John Benjamins Publishing Company,Amsterdam/Philadelphia,121-154,Causatives and Transitivity,,,,,,,https://www.researchgate.net/publication/44190090_The_second_causative_A_typological_sketch,,"This paper concentrates on languages which have more than one ways to form morphological causatives. It offers a comprehensive typological description of the relationships between such alternative causative derivatives, one of which is morphologically and/or semantically more complex than other (including double causatives)"
"linguistics, linguistic typology",middle,,book,kemmer1993,"Kemmer, Suzanne",,The Middle Voice,1993,,John Benjamins Publishing Company,Amsterdam/Philadelphia,300 pp.,,,,,,,,,,"This book approaches the middle voice from the perspective of typology and language universals research. The principal aim is to provide a typologically valid characterization of the category of middle voice in terms of which it can be incorporated in a cognitively-based theory of human language. The term “middle voice” has had a wide range of applications in the linguistic literature of this century. The main thesis in this volume is that there is a coherent, though complex, semantic category of middle voice in human language, which receives grammatical instantiation in many languages. The author claims there is a semantic property crucial to the nature of the middle, which she terms “relative elaboration of events”, that serves as a parameter along which the reflexive and the middle can be situated as semantic categories intermediate in transitivity between one-participant and two-participant events, and which differentiates reflexive and middle from one another. In this area, most analyses deal with one language and/or are limited to Indo-European languages. This work deals with a subset of middle-marking languages that was chosen so as to observe the highest possible number of different middle systems showing significant independent diachronic development."
"linguistics, semantics, syntax","alternations, event structure",English,book,levin1993,"Levin, Beth",,English verb classes and alternations: a preliminary investigation,1993,,The University of Chicago Press,Chicago/London,366 pp.,,,,,,,,,,"In this rich reference work, Beth Levin classifies over 3,000 English verbs according to shared meaning and behavior. Levin starts with the hypothesis that a verb’s meaning influences its syntactic behavior and develops it into a powerful tool for studying the English verb lexicon. She shows how identifying verbs with similar syntactic behavior provides an effective means of distinguishing semantically coherent verb classes, and isolates these classes by examining verb behavior with respect to a wide range of syntactic alternations that reflect verb meaning. The first part of the book sets out alternate ways in which verbs can express their arguments. The second presents classes of verbs that share a kernel of meaning and explores in detail the behavior of each class, drawing on the alternations in the first part. Levin’s discussion of each class and alternation includes lists of relevant verbs, illustrative examples, comments on noteworthy properties, and bibliographic references. The result is an original, systematic picture of the organization of the verb inventory. Easy to use, English Verb Classes and Alternations sets the stage for further explorations of the interface between lexical semantics and syntax. It will prove indispensable for theoretical and computational linguists, psycholinguists, cognitive scientists, lexicographers, and teachers of English as a second language."
"linguistics, diachrony",reflexive,,book,cennamo1993,"Cennamo, Michela",,The reanalysis of reflexives: a diachronic perspective,1993,,Liguori,Napoli,,,,,,,,,,,
"linguistics, linguistic typology, pragmatics",voice,,book,givon1994,"Givón, Talmy","Givón, Talmy",Voice and inversion,1994,,John Benjamins Publishing Company,Amsterdam/Philadelphia,402 pp.,,,,,,,,,,"This collection aims first to establish a structure-independent, language-independent definition of pragmatic voice, and more specifically then a universal functional definition of “inverse”. The grammar and pragmatic function of the four major voice constructions — direct-active, inverse, passive, antipassive — are surveyed using narrative texts from 14 languages: Koyukon (Athabascan), Plains Cree (Algonquian), Chepang (Tibeto-Burman), Squamish and Bella Coola (Salish), Sahaptin (Sahaptian), Kutenai (isolate), Surinam Carib (Carib), Spanish and Greek (Indo-European), Korean, Maasai (Nilotic), Cebuano and Karao (Philippine). The comparative quantified study of pragmatic voice functions tests the validity of a universal functional definition of voice and in particular of “inverse”. The cross-language comparison of grammatical structures that code the various voice functions then lays down the foundation for a non-trivial cross-language typology of “inverse”."
linguistics,causation,,article,kemmerverhagen1994,"Kemmer, Suzanne and Verhagen, Arie",,The grammar of causatives and the conceptual structure of events,1994,,,,115-156,,,Cognitive Linguistics,5,2,,,https://www.researchgate.net/publication/28639699_The_grammar_of_causatives_and_the_conceptual_structure_of_events,,"Analytic causative constructions can best be described as extensions of simpler kinds of expressions, rather than as reductions from more complex underlying structures. In particular, causatives of intransitive predicates (e.g. I made Mary cry) are viewed as modelled on simple two-participant clauses (like I ate the cake), and causatives of transitive predicates (e.g. He had the servant taste the food) are seen as modelled on simple three-participant clauses (like I gave Mary a flower, or She broke it with a hammer—i.e. mainly ditransitive and instrumental clause types). One especially important advantage of this approach is that it offers an explanatory semantic account of the variation of case markings found in causative constructions (such as the rather general alternation of dative, or other non-oblique, with instrumental), it predicts that such variation is related systematically to the semantics of case markings in simple clauses, which is in fact the case. It is argued that accounts of case marking of causees formulated strictly in terms of a formal hierarchy of cases cannot be adequate, given the semantic factors affecting the choice of case. The marking of the causee is a consequence of conceived differences in its role in the causal event, which relate to such aspects of event structure as (in)directness of causation and (relatedly) degree of agency and affectedness of participants. Such factors are elements of certain general conceptual models of causation. This approach not only has wider empirical coverage than syntactic, hierarchy-based accounts, but is simple, unified, has greater explanatory power both for cross-linguistic variation and for intricate intralinguistic distributional facts; finally, it accords with a cognitively-based view of language, in which the knowledge underlying grammar is not qualitatively different from other aspects of human understanding and reasoning."
"linguistics, construction grammar",argument structure,,book,goldberg1995,"Goldberg, Adele E.",,Constructions: A construction grammar approach to argument structure,1995,,The University of Chicago Press,Chicago,271 pp.,,,,,,,,,,"Drawing on work in linguistics, language acquisition, and computer science, Adele E. Goldberg proposes that grammatical constructions play a central role in the relation between the form and meaning of simple sentences. She demonstrates that the syntactic patterns associated with simple sentences are imbued with meaning—that the constructions themselves carry meaning independently of the words in a sentence. Goldberg provides a comprehensive account of the relation between verbs and constructions, offering ways to relate verb and constructional meaning, and to capture relations among constructions and generalizations over constructions. Prototypes, frame semantics, and metaphor are shown to play crucial roles. In addition, Goldberg presents specific analyses of several constructions, including the ditransitive and the resultative constructions, revealing systematic semantic generalizations. Through a comparison with other current approaches to argument structure phenomena, this book narrows the gap between generative and cognitive theories of language."
"linguistics, semantics, syntax",unaccusative,,book,levinrappaporthovav1995,"Levin, Beth and Rappaport Hovav, Malka",,Unaccusativity: at the syntax-lexical semantics interface,1995,,The MIT Press,Cambridge (Massachusetts)/London,350 pp.,,,,,,,,,,"Besides providing extensive support for David Perlmutter's hypothesis that unaccusativity is syntactically represented but semantically determined, this monograph contributes significantly to the development of a theory of lexical semantic representation and to the elucidation of the mapping from lexical semantics to syntax. Unaccusativity is an extended investigation into a set of linguistic phenomena that have received much attention over the last fifteen years. Besides providing extensive support for David Perlmutter's hypothesis that unaccusativity is syntactically represented but semantically determined, this monograph contributes significantly to the development of a theory of lexical semantic representation and to the elucidation of the mapping from lexical semantics to syntax. Perlmutter's Unaccusative Hypothesis proposes that there are two classes of intransitive verbs - unergatives and unaccusatives - each associated with a distinct syntactic configuration. Unaccusativity begins by isolating the semantic factors that determine whether a verb will be unaccusative or unergative through a careful examination of the behavior of intransitive verbs from a range of semantic classes in diverse syntactic constructions. Notable are the extensive discussions of verbs of motion, verbs of emission, and various types of verbs of change of state. The authors then introduce rules that determine the syntactic expression of the arguments of the verbs investigated and examine the interactions among them. The proper treatment of verbs that systematically show multiple meanings - and hence variable classification as unaccusative or unergative - is also considered. In the final chapter, the authors argue that the distribution of locative inversion, a purported unaccusative diagnostic, is determined instead by discourse considerations"
linguistics,middle,English,article,kitazume1996,"Kitazume, Sachiko",,Middles in English,1996,,,,161-183,,,Word,47,2,,,https://www.tandfonline.com/doi/pdf/10.1080/00437956.1996.11435951,DOI: 10.1080/00437956.1996.11435951,"This paper explores a new way of explaining the generation of middles and ergatives in a synchronic description of English that is inspired by historical evidence. In current syntactic studies, there are two basic approaches to the generation of middles and ergatives, one which maintains that intransitives are derived unidirectionally from corresponding transitives and another which proposes that transitives are uniformly derived from corresponding intransitives. I, in contrast, propose a bidirectional view of this derivational process, whereby some transitives are basic and give rise to intransitives, while in other cases it is the intransitive which is basic and which yields derived transitives. I propose that it is always the more cognitively salient form which is basic. As a metric for judging the relative cognitive salience of corresponding transitive and intransitive forms, I look to historical evidence; I hypothesize that the more salient form will always be first to appear in the language.*"
