FIELD,TOPIC,LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT
"linguistics, morphology, syntax","derivation, causation",,incollection,koontzgarboden2014,"Koontz-Garboden, Andrew","Lieber, R. and Stekauer, P.",Verbal derivation,2014,,Oxford University Press,Oxford,257-275,The Oxford Handbook of Derivational Morphology,,,,,,,,,"This chapter surveys issues in verbal derivational morphology that have been at the forefront of work in linguistic theory since the early days of generative grammar, including polysemy, conversion, the nature of affixal and root meaning, inflection, derivation, and lexicalism. The overview of these issues is followed by more detailed discussion of the syntactic and semantic representation of verb meaning, an issue at the forefront of much current work on verbal derivational morphology. Predictions of two contrasting approaches are discussed through a cross-linguistic case study of the causative alternation."
"linguistics, pragmatics","causation, causative-Inchoative",English,article,rappaporthovav2014,"Rappaport Hovav, Malka",,Lexical content and context: The causative alternation in English revisited,2014,,,,8-29,,,Lingua,141,,,,,,This paper supports an analysis of the causative alternation in English in which all alternating verbs are lexically associated only with the internal argument(s). Lexical and contextual constraints on the distribution of the variants are distinguished. Semantic constraints on what kinds of causes appear with which verbs in various uses are argued not to be lexically specified. The account distinguishes clearly between the principled availability of the two variants of a causative alternation verb and the principles governing the (non)expression of the external cause. Many of the nonlexical constraints on the causative alternation are best understood as resulting from principles which determine which variant of the alternation is most appropriate in a given discourse context.
"linguistics, linguistic typology","anticausative, causation, lability",,misc,watp2014,,,The World Atlas of Transitivity Pairs,2014,,,Tokyo,,,,,,,National Institute for Japanese Language and Linguistics,,Available online at: http://verbpairmap.ninjal.ac.jp ,,"The World Atlas of Transitivity Pairs (WATP) is a geo-typological database of morphologically related transitivity pairs such as ak-u ‘to open (intransitive)’: ak-e-ru ‘to open (transitive)’ in Japanese, which participate in the causative alternation (doa-ga aita [The door opened] vs. Taro-ga doa-o aketa [Taro opened the door]). It consists of primary data from about 95 languages contributed by about 80 researchers, which can be downloaded for research purpose."
"linguistics, linguistic typology",lability,,misc,Kulikovlavidas2014,,"Kulikov, Leonid and Lavidas, Nikolaos",Special Issue: Typology of Labile Verbs: Focus on Diachrony,2014,,,,,,,Linguistics,52,4,,,,,
"linguistics, distributed morphology","causation, anticausative",,book,alexiadouetal2015,"Alexiadou, Artemis and Anagnostopoulou, Elena and Schäfer, Florian",,External Arguments in Transitivity Alternations: A Layering Approach,2015,,Oxford University Press,Oxford,,,,,,,,,,,"This book is an exploration of the syntax of external arguments in transitivity alternations from a cross-linguistic perspective. The empirical focus is the causative/anticausative alternation and the formation of (adjectival) Passives. The bulk of the discussion, couched within Distributed Morphology, is devoted to the properties of the (anti-)causative alternation, which the text takes to be a Voice alternation. It offers a detailed discussion of the morphological realization of anticausatives across languages, and argues that marked anticausatives involve expletive Voice and are not reflexive predicates. In the discussion of Passives, the book argues that the fact that Passives in German and English—unlike their counterparts in Greek, where Passives are syncretic with anticausatives—are morphologically unique reflects the fact that they are also structurally unique. Passives in English and German involve Passive Voice, while they involve Middle Voice in Greek. The text furthermore shows that the distinction between target and resultant state participles is an important one in order to understand the contribution of Voice in adjectival Passives. Importantly, the study provided tools to probe into the morpho-syntactic structure of verbs and participles, and to identify the properties of verbal alternations across languages."
linguistics,anticausative,"Latin, Old Norse-Icelandic",article,cennamoetal2015,"Cennamo, Michela and Eythórsson, Thórhallur and Barðdal, Jóhanna",,Semantic and (morpho)syntactic constraints on anticausativization: evidence from Latin and Old Norse-Icelandic,2015,,,,677-729,,,Linguistics,53,4,,,,,
"linguistics, semantics, pragmatics","argument structure, causation",,article,levin2015,"Levin, Beth",,Semantics and Pragmatics of Argument Alternations,2015,,,,63-83,,,Annual Review of Linguistics,1,,,,https://www.annualreviews.org/doi/abs/10.1146/annurev-linguist-030514-125141,,"After setting out the challenges posed by argument alternations for linguistic theory, this article reviews the development of accounts of argument alternations over the past 50 years, documenting a shift from accounts that are primarily syntactic in nature to accounts with semantic and pragmatic components. The remainder of this review consists of case studies of the developing understanding of the semantics and pragmatics of the dative alternation and the causative alternation. Each case study stresses the interplay of semantic and contextual factors in characterizing the relation between the two variants that make up the alternation and in determining the choice of variant in a given context."
"linguistics, linguistic typology","verb classification, valency",,book,malchukovcomrie2015a,,"Malchukov, Andrej and Comrie, Bernard","Valency Classes in the World’s Languages: Volume 1 Introducing the Framework, and Case Studies from Africa and Eurasia",2015,,De Gruyter Mouton,Berlin/Boston,873 pp.,,,,,,,,,,"Earlier empirical studies on valency have looked at the phenomenon either in individual languages or a small range of languages, or have concerned themselves with only small subparts of valency (e.g. transitivity, ditransitive constructions), leaving a lacuna that the present volume aims to fill by considering a wide range of valency phenomena across 30 languages from different parts of the world. The individual-language studies, each written by a specialist or group of specialists on that language and covering both valency patterns and valency alternations, are based on a questionnaire (reproduced in the volume) and an on-line freely accessible database, thus guaranteeing comparability of cross-linguistic results. In addition, introductory chapters provide the background to the project and discuss its main characteristics and selected results, while a series of featured articles by leading scholars who helped shape the field provide an outside perspective on the volume’s approach. The volume is essential reading for anyone interested in valency and argument structure, irrespective of theoretical persuasion, and will serve as a model for future descriptive studies of valency in individual languages."
"linguistics, linguistic typology","verb classification, valency",,book,malchukovcomrie2015b,,"Malchukov, Andrej and Comrie, Bernard","Valency Classes in the World’s Languages: Volume 2 Case Studies from Austronesia, the Pacific, the Americas, and Theoretical Outlook",2015,,De Gruyter Mouton,Berlin/München/Boston,873 pp.,,,,,,,,,,"Earlier empirical studies on valency have looked at the phenomenon either in individual languages or a small range of languages, or have concerned themselves with only small subparts of valency (e.g. transitivity, ditransitive constructions), leaving a lacuna that the present volume aims to fill by considering a wide range of valency phenomena across 30 languages from different parts of the world. The individual-language studies, each written by a specialist or group of specialists on that language and covering both valency patterns and valency alternations, are based on a questionnaire (reproduced in the volume) and an on-line freely accessible database, thus guaranteeing comparability of cross-linguistic results. In addition, introductory chapters provide the background to the project and discuss its main characteristics and selected results, while a series of featured articles by leading scholars who helped shape the field provide an outside perspective on the volume’s approach. The volume is essential reading for anyone interested in valency and argument structure, irrespective of theoretical persuasion, and will serve as a model for future descriptive studies of valency in individual languages."
"linguistics, linguistic typology",valency,Zapotec,book,opersteinsonnenschein2015,,"Operstein, Natalie and Sonnenschein, Aaron Huey ","Valence Changes in Zapotec: Synchrony, diachrony, typology",2015,,John Benjamins Publishing Company,Amsterdam/Philadelphia,"385 pp.",,,,,,,,,,"Zapotec languages present a wide range of lexical, morphological, phonological, and syntactic means of indicating valence changes. Despite their significant theoretical interest, detailed descriptions of valence-changing phenomena in Zapotec are rare, comparative studies are practically non-existent, and Zapotec contributions to the general typology of valence-changing phenomena still remain largely untapped. The present volume addresses this imbalance by being the first to explore Zapotec valence-changing constructions in depth, and to highlight their broad comparative, typological, and theoretical significance. This book contains both write-ups of contributions to the Special Session on Valence-Changing Devices in Zapotecan (annual meeting of SSILA, 2012) and specially commissioned chapters. It will be of interest to Zapotecanists, Otomangueanists, Mesoamericanists, typologists, morphologists, syntacticians, semanticians, and general linguists with an interest in valence-changing phenomena, and may also be used as supplementary reading in field methods and typology courses."
linguistics,"causation, non-canonical",Samoyedic,article,stenin2015,"Стенин, Иван А.",,Некаузативные эффекты каузативной морфологии в северносамодийских языках,2015,Non-causative effects of causative morphology in the Northern Samoyedic languages,,,583-597,,,Acta Linguistica Petropolitana. Труды института лингвистических исследований,XI,2,,,,,"В статье рассматриваются такие употребления каузативных показателей в северно-самодийских языках, которые не имеют собственно каузативной семантики. Обнаруженные вторичные эффекты каузативной морфологии включают аппликативизацию, агентивизацию, выражение неинтенциональной каузации и конверсивных отношений. В аппликативном значении каузативный показатель модифицирует только непереходные основы. Маркируя неинтенциональную каузацию, аффикс каузатива присоединяется прежде всего к амбитранзитивным основам и переводит их в разряд строго переходных. Данные северно-самодийских языков позволяют дополнить и уточнить существующую классификацию несобственных употреблений каузативных показателей."
linguistics,event structure,,book,tatevosov2015event,"Татевосов, Сергей Г.",,Акциональность в лексике и грамматике. Глагол структура события,2015,,Языки славянской культуры,Москва,368 с.,,,,,,,,,,
