LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT,Aramaic
Hebrew,article,joosten1998,"Joosten, Jan",,The functions of the Semitic D stem: Biblical Hebrew materials for a comparative-historical approach,1998,,,,202-230,,,Orientalia,67,2,,,,,,
Semitic,article,testen1998,"Testen, David",,The derivational role of the Semitic N-stem,1998,,,,127-145,,,Zeitschrift für Assyriologie und vorderasiatische Archäologie,88,1,,,,,,
,book,kienast2001,"Kienast, B.",,Historische semitische Sprachwissenschaft,2001,,Harrassowitz,Wiesbaden,,,,,,,,,,,,
,book,waltisberg2001,"Waltisberg, M.",,Die St-Stämme des Altäthiopischen (LINCOM-Studies in Afro-Asiatic Linguistics 8),2001,,LINCOM,München,,,,,,,,,,,,
Hebrew,article,doron2003,"Doron, Edit",,Agency and Voice: The Semantics of the Semitic Templates,2003,,,,1-67,,,Natural Language Semantics,11,,,,,https://doi.org/10.1023/A:1023021423453,"Semitic templates systematically encode two dimensions of verb meaning: (a) agency, the thematic role of the verb’s external argument, and (b) voice. The assumption that this form-meaning correspondence is mediated by syntax allows the parallel compositional construction of the form and the meaning of a verb from the forms and the meanings of its root and template. The root and its arguments are optionally embedded under a light verb v which introduces the agent (Hale and Keyser 1993; Kratzer 1994). But this is only the unmarked case, which, in Semitic, is encoded by the simple templates. Two dimensions of markedness are introduced by two additional types of syntactic heads: (a) agency heads, which modify agency and are morphologically realized as the intensive and causative templates, and (b) voice heads, which modify voice and are morphologically realized as the passive and middle templates. Causative and middle morphemes are thus accounted for within a unified system, which, first, explains their affinity in language in general (both are found crosslinguistically as markers of transitivity alternations), and which, moreover, sheds new light on problems in the interface of semantics and morphology. One problem is the impossibility, mostly ignored in linguistic theory, of deriving the semantics of middle verbs from that of the corresponding transitive verbs. The second is explaining the identity found crosslinguistically between middle and reflexive morphology. The third is determining the grammatical function of the causee in causative constructions",
Semitic,incollection,ussishkin2003,"Ussishkin, Adam","Lecarme, Jacqueline",Templatic effects as fixed prosody: The verbal system in Semitic,2003,,John Benjamins Publishing Company,,511-530,"Research in Afroasiatic Grammar II: Selected papers from the Fifth Conference on Afroasiatic Languages, Paris, 2000",,,,,,,,https://doi.org/10.1075/cilt.241.23uss,,
Semitic,incollection,batel2003,"Bat-El, Outi","Shimron, Joseph",2. Semitic verb structure within a universal perspective,2003,,John Benjamins Publishing Company,,29-59,"Language Processing and Acquisition in Languages of Semitic, Root-Based, Morphology",,,,,,,,https://doi.org/10.1075/lald.28.02bat,,
Hebrew,book,arad2005,"Arad, Maya",,Roots and Patterns: Hebrew Morpho-syntax,2005,,Springer,Dordrecht,286 pp.,,,,,,,,,https://doi.org/10.1007/1-4020-3244-7,"This book is simultaneously a theoretical study in morphosyntax and an in-depth empirical study of Hebrew. Based on Hebrew data, the book defends the status of the root as a lexical and phonological unit and argues that roots, rather than verbs or nouns, are the primitives of word formation. A central claim made throughout the book is the role of locality in word formation, teasing apart word formation from roots and word formation from existing words syntactically, semantically and phonologically. The book focuses on Hebrew, a language with rich verb morphology, where both roots and noun- and verb-creating morphology are morphologically transparent. The study of Hebrew verbs is based on a corpus of all Hebrew verb-creating roots, offering, for the first time, a survey of the full array of morpho-syntactic forms seen in the Hebrew verb. While the focus of this study is on how roots function in word-formation, a central chapter studies the information encoded by the Hebrew root, arguing for a special kind of open-ended value, bounded within the classes of meaning analyzed by lexical semanticists.",
Classical Hebrew ,article,gzella2009,"Gzella, Holger",,Voice in Classical Hebrew against its Semitic background,2009,,,,292-325,,,Orientalia,78,3,,,,,,
Semitic ,incollection,izreel2009,"Izre’el, Shlomo","Goldenberg, Gideon and Shisha-Halevy, Ariel",Constructive constructions: Semitic verbal morphology and beyond,2009,,The Israel Academy of Sciences and Humanities,Jerusalem,106-130,"Egyptian, Semitic and General Grammar (Workshop in Memory of H.J. Polotsky)",,,,,,,,,,
